Meta,ID,Match,Owner,Deck,Played,Wins,Elo,Active,Win Rate,WRA,STR,Weight,Bayes STR,Norm Bayes STR
BMT,2ba5890a84545caf9dee63d2a531636c5601715be387da99e4b971f349e6cf87,274,Deniedpluto,Pending Investigation,5,2,1012.382055,1,0.4,0.277777777777778,0.111111111111111,0.407845579078456,0.0928849003080332,0.444233881187888
BMT,2e36e6321d1c4bbfe8a8f8ab84aab440ad3e2d11125b87e23ec30625be48fc78,282,Tank,Breya Artifact Sac,6,3,1060.438541,1,0.5,0.3125,0.15625,0.452504317789292,0.114685015611355,1.38694727816029
BMT,2f888de96c118c85e8b4d8ef3ef411621fa98bc395da01952da74c9b078181c1,113,Wedgetable,Stoner Goblins,1,0,983.3379842,0,0,0.452380952380952,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,3368c3599938a477d56c8ec778ec4bf5c9532c3773188239eac8de9287fb0155,248,Deniedpluto,Ratdos AristoRats,6,3,1031.729818,0,0.5,0.205128205128205,0.102564102564103,0.452504317789292,0.0903919152172183,0.336428467736448
BMT,33ad36e090dbb96765a89e80678c677bdddade8dcc63a1ef3e92901af3179655,238,Deniedpluto,Mandatory Dungeon Hours // Queen's Orders,9,4,1014.9458,1,0.444444444444444,0.244813278008299,0.108805901337022,0.553521126760563,0.0960927369921465,0.582951983149136
BMT,36dc5b5ae647f410d3f0e2233185455254cc839d806f0eae663816d3c9be70b2,281,Ghstflame,Wings of Destiny,9,1,925.8425377,1,0.111111111111111,0.327354260089686,0.0363726955655207,0.553521126760563,0.0559994273186256,-1.15082325759155
BMT,3b04ceb2a674d3254fae809658d98fd77354c36720a9151784e4c3703af9fdc8,184,Tank,Urza's Legion,17,3,904.1950968,1,0.176470588235294,0.330409356725146,0.0583075335397317,0.700755191944619,0.0648981275361567,-0.766012269485003
BMT,3f91df57aeb0ebbaa7c39325dd9c6f4c86969fc8eb88e3dfbadb8a4042dd0a15,290,Ghstflame,Big Dungeon Energy,26,4,911.767422056433,1,0.153846153846154,0.308457711442786,0.0474550325296594,0.781730548542575,0.0546309875861702,-1.20999938812047
BMT,3fe1000e644cfb25426efce2bec80543643a73946d4efdfc59fcb2bc19fc5dd2,240,Deniedpluto,Draw Go Drakes,7,4,1066.026293,1,0.571428571428571,0.180904522613065,0.103374012921752,0.490899357601713,0.0916431166842451,0.390534804738158
BMT,4037d7a6fbee4c435501c6dac2a0806106ffe0df82423742cb3b92f7429af0f4,176,Deniedpluto,That's All (mer)Folks!,6,2,1032.142951,1,0.333333333333333,0.210144927536232,0.070048309178744,0.452504317789292,0.075678378313999,-0.299836440155993
BMT,41029ca8665a96e258854534b9343a09886eaba8ae1fe31fd05f769aef74e78f,177,Ghstflame,Hitchhikers Guide to the Multiverse,4,2,1057.4746,0,0.5,0.293233082706767,0.146616541353383,0.355254237288136,0.103879620193964,0.919684106483083
BMT,42158280eb0f2a1da9b11ae47f216b84ff5861d926221abe2424f2f87997842c,206,Ghstflame,BITE!,7,0,883.4742936,0,0,0.386363636363636,0,0.490899357601713,0.040896880148246,-1.80391033295004
